月日,時刻,子ユーザ,入力値,parKurumaNo,ParamList,parHinban,parJunsei,parHMCount,KurumaInfo,parType,parMakerNo,parHinmokuNos,parMakerNos,parSyadaiNo,CallHinban,date
2021-11-09,15:21:01,194020,145R12,,"['', '']",['145R12 '],0 ,,"['', '']",,0,"['', '']","['', '']",,,2021-11-09 15:21:01
2021-11-09,15:21:24,194020,S500P,,"['', '', 'S500P', ' ']","['', '']",,,"['141966', '6', 'ﾀﾞｲﾊﾂ', '10', 'ﾊｲｾﾞｯﾄ 660 DOHC ﾄﾗｯｸ', '17818', '0013-0020', 'EBD-S500P', '1407', '1805', 'KFVE', '660']",,,"['', '']","['', '']",,,2021-11-09 15:21:24
2021-11-09,15:21:34,194020,,142921 ,"['', '']","['', '']",,24 ,"['', '']",,,"['9830', '9840', '9830', '9840', '9830', '9840', '9830', '9840', '9830', '9840', '9830', '9840', '9830', '9840', '9830', '9840', '9830', '9840', '9830', '9840', '9830', '9840', '9830', '9840 ']","['0010', '0010', '0020', '0020', '0030', '0030', '0040', '0040', '0050', '0050', '0060', '0060', '0070', '0070', '0080', '0080', '0090', '0090', '0100', '0100', '0110', '0110', '0120', '0120 ']",0,,2021-11-09 15:21:34
2021-11-09,15:21:35,194020,145R12,,"['', '']",['145R12 6PR LT '],0 ,,"['', '']",,0,"['', '']","['', '']",,,2021-11-09 15:21:35
2021-11-09,15:22:35,61720504,3882379R00,,"['', '']",['3882379R00 '],0 ,,"['', '']",,0,"['', '']","['', '']",,,2021-11-09 15:22:35
2021-11-09,15:23:06,61761409,21304A00D,,"['', '']",['21304A00D '],,,"['', '']",,,"['', '']","['', '']",,21304A00D,2021-11-09 15:23:06
2021-11-09,15:23:27,619E4601,16605-0325,,"['16605', '0325', '', ' ']","['', '']",,,"['140318', '1', 'ﾄﾖﾀ', '26', 'ﾊｲｴｰｽ 3000 ﾊﾞﾝ ﾛﾝｸﾞ ﾀｰﾎﾞ', '16605', '0325-0327 0329 0333 0335 0337', 'QDF-KDH201V', '1205', '1711', '1KDFTV', '3000']",,,"['', '']","['', '']",,,2021-11-09 15:23:27
2021-11-09,15:24:55,194009,11220-0036,,"['11220', '0036', '', ' ']","['', '']",,,"['103955', '6', 'ﾀﾞｲﾊﾂ', '10', 'ﾊｲｾﾞｯﾄ ｶｰｺﾞ 660 ﾊﾞﾝ', '11220', '0036', 'TE-S200V', '0201', '0305', 'EFSE', '660']",,,"['', '']","['', '']",,,2021-11-09 15:24:55
2021-11-09,15:25:13,194009,1741100000000,,"['', '']",['17410-97549-000 '],0 ,,"['', '']",,0,"['', '']","['', '']",,,2021-11-09 15:25:13
2021-11-09,15:34:55,194009,11944-0008,,"['11944', '0008', '', ' ']","['', '']",,,"['113112', '8', 'ｽｽﾞｷ', '16', 'ﾜｺﾞﾝR 660 DOHC', '11944', '0008', 'UA-MH21S', '0309', '0404', 'K6A', '660']",,,"['', '']","['', '']",,,2021-11-09 15:34:55
2021-11-09,15:35:03,194009,,113112 ,"['', '']","['', '']",,9 ,"['', '']",,,"['2300', '2301', '2302', '2303', '2340', '2341', '2342', '2343', '2344 ']","['2180', '2180', '2180', '2180', '2180', '2180', '2180', '2180', '2180 ']",0,,2021-11-09 15:35:03
2021-11-09,15:25:20,186009,MR267876,,"['', '']",['MR267876 '],,,"['', '']",,,"['', '']","['', '']",,MR267876,2021-11-09 15:25:20
2021-11-09,15:25:34,610TB106,,102277 ,"['', '']","['', '']",,7 ,"['', '']",,,"['1300', '1301', '1340', '1341', '1302', '1342', '1303 ']","['2260', '2260', '2260', '2260', '2260', '2260', '2260 ']",0,,2021-11-09 15:25:34
2021-11-09,15:26:14,610TB106,,102277 ,"['', '']","['', '']",,12 ,"['', '']",,,"['1060', '1060', '1060', '1060', '1061', '1061', '1061', '1061', '1062', '1062', '1062', '1062 ']","['1040', '3200', '2260', '4060', '1040', '3200', '2260', '4060', '1040', '3200', '2260', '4060 ']",0,,2021-11-09 15:26:14
2021-11-09,15:30:10,610TB106,,102277 ,"['', '']","['', '']",,9 ,"['', '']",,,"['1380', '1420', '1381', '1421', '1382', '1422', '3320', '3321', '3322 ']","['4280', '4280', '4280', '4280', '4280', '4280', '4280', '4280', '4280 ']",0,,2021-11-09 15:30:10
2021-11-09,15:30:42,610TB106,,102277 ,"['', '']","['', '']",,2 ,"['', '']",,,"['1660', '1660 ']","['2300', '4060 ']",0,,2021-11-09 15:30:42
2021-11-09,15:31:19,610TB106,,102277 ,"['', '']","['', '']",,1 ,"['', '']",,,['1680 '],['2300 '],0,,2021-11-09 15:31:19
2021-11-09,15:32:06,610TB106,,102277 ,"['', '']","['', '']",,1 ,"['', '']",,,['1700 '],['2300 '],0,,2021-11-09 15:32:06
2021-11-09,15:32:15,610TB106,4170079A01,,"['', '']",['41700-79A01 '],0 ,,"['', '']",,0,"['', '']","['', '']",,,2021-11-09 15:32:15
2021-11-09,15:32:29,610TB106,4411967H00,,"['', '']",['44119-67H00 '],0 ,,"['', '']",,0,"['', '']","['', '']",,,2021-11-09 15:32:29
2021-11-09,15:32:48,610TB106,,102277 ,"['', '']","['', '']",,42 ,"['', '']",,,"['3360', '3360', '3360', '3361', '3361', '3361', '3362', '3362', '3362', '3363', '3363', '3363', '3364', '3364', '3364', '3365', '3365', '3365', '3366', '3366', '3366', '3380', '3380', '3380', '3381', '3381', '3381', '3382', '3382', '3382', '3383', '3383', '3383', '3384', '3384', '3384', '3385', '3385', '3385', '3386', '3386', '3386 ']","['2800', '2820', '4340', '2800', '2820', '4340', '2800', '2820', '4340', '2800', '2820', '4340', '2800', '2820', '4340', '2800', '2820', '4340', '2800', '2820', '4340', '2800', '2820', '4340', '2800', '2820', '4340', '2800', '2820', '4340', '2800', '2820', '4340', '2800', '2820', '4340', '2800', '2820', '4340', '2800', '2820', '4340 ']",0,,2021-11-09 15:32:48
2021-11-09,15:33:05,610TB106,,102277 ,"['', '']","['', '']",,8 ,"['', '']",,,"['3880', '3880', '3881', '3881', '3882', '3882', '4300', '4300 ']","['2840', '4280', '2840', '4280', '2840', '4280', '4360', '3600 ']",0,,2021-11-09 15:33:05
2021-11-09,15:33:35,610TB106,,102277 ,"['', '']","['', '']",,1 ,"['', '']",,,['2460 '],['2290 '],0,,2021-11-09 15:33:35
